cvi_code,defect_code, direction,calc_needed, lower_limit
1,BCKJ,F,Length,1
2,BCKJ,R,Length,1
3,BFEJ,F,Lateral,0
4,BFEJ,R,Lateral,0
5,BFEJ,B,Lateral,0
6,BSDE,F,Lateral,0
7,BSDE,R,Lateral,0
8,BSDE,B,Lateral,0
9,BSES,F,Lateral,0
10,BSES,R,Lateral,0
11,BSES,B,Lateral,0
12,BTCK,F,Count,0
13,BTCK,R,Count,0
14,BWTR,F,Length,0
15,BWTR,R,Length,0
16,BLED,F,Length,1
17,BRED,F,Length,1
18,BNAS,F,Length,1
19,BNAS,R,Length,1
20,KBLD,F,Lateral,1
21,KBLD,R,Lateral,1
22,KBLD,B,Lateral,1
23,KBLN,F,Lateral,1
24,KBLN,R,Lateral,1
25,KBLN,B,Lateral,1
26,KNUS,F,Length,1
27,KNUS,R,Length,1
28,KNNA,F,Length,1
29,KNNA,R,Length,1
30,NCRA,F,Lateral,1
31,NCRA,R,Lateral,1
32,NCRA,B,Lateral,1
33,NSCR,F,Lateral,1
34,NSCR,R,Lateral,1
35,NSCR,B,Lateral,1
36,NSTM,F,Lateral,1
37,NSTM,R,Lateral,1
38,NSTM,B,Lateral,1
39,NFLT,F,Count,
40,NFLT,R,Count,
41,NDFS,F,Count,
42,NDFS,R,Count,
43,NJDF,F,Length,1
44,NJDF,R,Length,1
45,NDLS,F,Length,1
46,NDLS,R,Length,1
47,NDSU,F,Lateral,1
48,NDSU,R,Lateral,1
49,NDSU,B,Lateral,1
50,NPTH,F,Lateral,1
51,NPTH,R,Lateral,1
52,NPTH,B,Lateral,1
53,NNDE,F,Length,1
54,NNDE,R,Length,1
55,NNOA,F,Length,1
56,NNOA,R,Length,1
0,BUTS,F,NoDefect,0
0,BUTS,R,NoDefect,0
