GRD Start Ch,GRD End Ch,Section,Start Ch,End Ch,Length,Direction
242,262,1440U7465_/0010,0,20,20,R
262,282,1440U7465_/0010,20,40,20,R
282,302,1440U7465_/0010,40,60,20,R
302,322,1440U7465_/0010,60,80,20,R
322,342,1440U7465_/0010,80,100,20,R
342,362,1440U7465_/0010,100,120,20,R
362,365.6,1440U7465_/0010,120,123.5,3.5,R
365.6,385.6,1440U7465_/0020,0,20,20,F
385.6,405.6,1440U7465_/0020,20,40,20,F
405.6,425.6,1440U7465_/0020,40,60,20,F
425.6,428.6,1440U7465_/0020,60,63,3,F
512.4,532.4,1440U7465_/0010,123.5,140,16.5,R
532.4,552.4,1440U7465_/0010,140,160,20,R
552.4,572.4,1440U7465_/0010,160,180,20,R
572.4,592.4,1440U7465_/0010,180,200,20,R
592.4,612.4,1440U7465_/0010,200,220,20,R
612.4,616.4,1440U7465_/0010,220,224,4,R
625.8,645.8,1440U7520_/0020,0,20,20,F
645.8,665.8,1440U7520_/0020,20,40,20,F
665.8,685.8,1440U7520_/0020,40,60,20,F
685.8,705.8,1440U7520_/0020,60,80,20,F
705.8,725.8,1440U7520_/0020,80,100,20,F
725.8,745.8,1440U7520_/0020,100,120,20,F
745.8,765.8,1440U7520_/0020,120,140,20,F
765.8,785.8,1440U7520_/0020,140,160,20,F
785.8,805.8,1440U7520_/0020,160,180,20,F
805.8,826,1440U7520_/0020,180,200,20,F
826,846,1440U7520_/0020,200,220,20,F
846,866,1440U7520_/0020,220,240,20,F
866,886,1440U7520_/0020,240,260,20,F
886,906,1440U7520_/0020,260,280,20,F
906,926,1440U7520_/0020,280,300,20,F
926,946,1440U7520_/0020,300,320,20,F
946,957,1440U7520_/0020,320,331,11,F
1130.8,1150.8,1440U7520_/0010,0,20,20,R
1150.8,1170.8,1440U7520_/0010,20,40,20,R
1170.8,1190.8,1440U7520_/0010,40,60,20,R
1190.8,1210.8,1440U7520_/0010,60,80,20,R
1210.8,1230.8,1440U7520_/0010,80,100,20,R
1230.8,1250.8,1440U7520_/0010,100,120,20,R
1250.8,1270.8,1440U7520_/0010,120,140,20,R
1270.8,1290.8,1440U7520_/0010,140,160,20,R
1290.8,1299.8,1440U7520_/0010,160,169,9,R
1690.8,1710.8,1440U7464_/0010,0,20,20,R
1710.8,1730.8,1440U7464_/0010,20,40,20,R
1730.8,1750.8,1440U7464_/0010,40,60,20,R
1750.8,1770.8,1440U7464_/0010,60,80,20,R
1770.8,1782,1440U7464_/0010,80,91.2,11.2,R
1782,1802,1440U7464_/0030,0,20,20,F
1802,1822,1440U7464_/0030,20,40,20,F
1822,1842,1440U7464_/0030,40,60,20,F
1842,1860,1440U7464_/0030,60,78,18,F
2307.2,2327.2,1440U7462_/0010,0,20,20,F
2327.2,2347.2,1440U7462_/0010,20,40,20,F
2347.2,2367.2,1440U7462_/0010,40,60,20,F
2367.2,2387.2,1440U7462_/0010,60,80,20,F
2387.2,2407.2,1440U7462_/0010,80,100,20,F
2407.2,2427.2,1440U7462_/0010,100,120,20,F
2427.2,2447.2,1440U7462_/0010,120,140,20,F
2447.2,2465.2,1440U7462_/0010,140,158,18,F
