GRD_Start_Ch,GRD_End_Ch,Section,Start_Ch,End_Ch,Length,Direction
121.4,141.4,1440U7584_/0010,0,20,20,F
141.4,161.4,1440U7584_/0010,20,40,20,F
161.4,181.4,1440U7584_/0010,40,60,20,F
181.4,201.4,1440U7584_/0010,60,80,20,F
201.4,221.4,1440U7584_/0010,80,100,20,F
221.4,241.4,1440U7584_/0010,100,120,20,F
241.4,261.4,1440U7584_/0010,120,140,20,F
261.4,281.4,1440U7584_/0010,140,160,20,F
281.4,301.4,1440U7584_/0010,160,180,20,F
301.4,321.4,1440U7584_/0010,180,200,20,F
321.4,341.4,1440U7584_/0010,200,220,20,F
341.4,361.4,1440U7584_/0010,220,240,20,F
361.4,381.4,1440U7584_/0010,240,260,20,F
381.4,401.4,1440U7584_/0010,260,280,20,F
401.4,421.4,1440U7584_/0010,280,300,20,F
421.4,441.4,1440U7584_/0010,300,320,20,F
441.4,461.4,1440U7584_/0010,320,340,20,F
461.4,481.4,1440U7584_/0010,340,360,20,F
481.4,501.4,1440U7584_/0010,360,380,20,F
501.4,521.4,1440U7584_/0010,380,400,20,F
521.4,541.4,1440U7584_/0010,400,420,20,F
541.4,561.4,1440U7584_/0010,420,440,20,F
561.4,581.4,1440U7584_/0010,440,460,20,F
581.4,601.4,1440U7584_/0010,460,480,20,F
601.4,621.4,1440U7584_/0010,480,500,20,F
621.4,641.4,1440U7584_/0010,500,520,20,F
641.4,661.4,1440U7584_/0010,520,540,20,F
661.4,681.4,1440U7584_/0010,540,560,20,F
681.4,701.4,1440U7584_/0010,560,580,20,F
701.4,721.4,1440U7584_/0010,580,600,20,F
721.4,741.4,1440U7584_/0010,600,620,20,F
741.4,761.4,1440U7584_/0010,620,640,20,F
761.4,781.4,1440U7584_/0010,640,660,20,F
781.4,801.4,1440U7584_/0010,660,680,20,F
801.4,821.4,1440U7584_/0010,680,700,20,F
821.4,841.4,1440U7584_/0010,700,720,20,F
841.4,861.4,1440U7584_/0010,720,740,20,F
861.4,881.4,1440U7584_/0010,740,760,20,F
881.4,901.4,1440U7584_/0010,760,780,20,F
901.4,921.4,1440U7584_/0010,780,800,20,F
921.4,941.4,1440U7584_/0010,800,820,20,F
941.4,961.4,1440U7584_/0010,820,840,20,F
961.4,981.4,1440U7584_/0010,840,860,20,F
981.4,1001.4,1440U7584_/0010,860,880,20,F
1001.4,1021.4,1440U7584_/0010,880,900,20,F
1021.4,1041.4,1440U7584_/0010,900,920,20,F
1041.4,1061.4,1440U7584_/0010,920,940,20,F
1061.4,1081.4,1440U7584_/0010,940,960,20,F
1081.4,1101.4,1440U7584_/0010,960,980,20,F
1101.4,1121.4,1440U7584_/0010,980,1000,20,F
1121.4,1141.4,1440U7584_/0010,1000,1020,20,F
1141.4,1161.4,1440U7584_/0010,1020,1040,20,F
1161.4,1181.4,1440U7584_/0010,1040,1060,20,F
1181.4,1201.4,1440U7584_/0010,1060,1080,20,F
1201.4,1221.4,1440U7584_/0010,1080,1100,20,F
1221.4,1241.4,1440U7584_/0010,1100,1120,20,F
1241.4,1261.4,1440U7584_/0010,1120,1140,20,F
1261.4,1281.4,1440U7584_/0010,1140,1160,20,F
1281.4,1301.4,1440U7584_/0010,1160,1180,20,F
1301.4,1321.4,1440U7584_/0010,1180,1200,20,F
1321.4,1341.4,1440U7584_/0010,1200,1220,20,F
1341.4,1361.4,1440U7584_/0010,1220,1240,20,F
1361.4,1381.4,1440U7584_/0010,1240,1260,20,F
1381.4,1401.4,1440U7584_/0010,1260,1280,20,F
1401.4,1421.4,1440U7584_/0010,1280,1300,20,F
1421.4,1441.4,1440U7584_/0010,1300,1320,20,F
1441.4,1461.4,1440U7584_/0010,1320,1340,20,F
1461.4,1481.4,1440U7584_/0010,1340,1360,20,F
1481.4,1501.4,1440U7584_/0010,1360,1380,20,F
1501.4,1521.4,1440U7584_/0010,1380,1400,20,F
1521.4,1541.4,1440U7584_/0010,1400,1420,20,F
1541.4,1561.4,1440U7584_/0010,1420,1440,20,F
1561.4,1581.4,1440U7584_/0010,1440,1460,20,F
1581.4,1601.4,1440U7584_/0010,1460,1480,20,F
1601.4,1621.4,1440U7584_/0010,1480,1500,20,F
1621.4,1641.4,1440U7584_/0010,1500,1520,20,F
1641.4,1661.4,1440U7584_/0010,1520,1540,20,F
1661.4,1681.4,1440U7584_/0010,1540,1560,20,F
1681.4,1701.4,1440U7584_/0010,1560,1580,20,F
1701.4,1721.4,1440U7584_/0010,1580,1600,20,F
1721.4,1741.4,1440U7584_/0010,1600,1620,20,F
1741.4,1761.4,1440U7584_/0010,1620,1640,20,F
1761.4,1781.4,1440U7584_/0010,1640,1660,20,F
1781.4,1801.4,1440U7584_/0010,1660,1680,20,F
1801.4,1821.4,1440U7584_/0010,1680,1700,20,F
1821.4,1841.4,1440U7584_/0010,1700,1720,20,F
1841.4,1861.4,1440U7584_/0010,1720,1740,20,F
1861.4,1881.4,1440U7584_/0010,1740,1760,20,F
1881.4,1901.4,1440U7584_/0010,1760,1780,20,F
1901.4,1921.4,1440U7584_/0010,1780,1800,20,F
1921.4,1941.4,1440U7584_/0010,1800,1820,20,F
1941.4,1961.4,1440U7584_/0010,1820,1840,20,F
1961.4,1981.4,1440U7584_/0010,1840,1860,20,F
1981.4,2001.4,1440U7584_/0010,1860,1880,20,F
2001.4,2021.4,1440U7584_/0010,1880,1900,20,F
2021.4,2041.4,1440U7584_/0010,1900,1920,20,F
2041.4,2061.4,1440U7584_/0010,1920,1940,20,F
2061.4,2081.4,1440U7584_/0010,1940,1960,20,F
2081.4,2101.4,1440U7584_/0010,1960,1980,20,F
2101.4,2121.4,1440U7584_/0010,1980,2000,20,F
2121.4,2141.4,1440U7584_/0010,2000,2020,20,F
2141.4,2161.4,1440U7584_/0010,2020,2040,20,F
2161.4,2181.4,1440U7584_/0010,2040,2060,20,F
2181.4,2201.4,1440U7584_/0010,2060,2080,20,F
2201.4,2221.4,1440U7584_/0010,2080,2100,20,F
2221.4,2241.4,1440U7584_/0010,2100,2120,20,F
2241.4,2261.4,1440U7584_/0010,2120,2140,20,F
2261.4,2281.4,1440U7584_/0010,2140,2160,20,F
2281.4,2301.4,1440U7584_/0010,2160,2180,20,F
2301.4,2321.4,1440U7584_/0010,2180,2200,20,F
2321.4,2341.4,1440U7584_/0010,2200,2220,20,F
2341.4,2361.4,1440U7584_/0010,2220,2240,20,F
2361.4,2381.4,1440U7584_/0010,2240,2260,20,F
2381.4,2401.4,1440U7584_/0010,2260,2280,20,F
2401.4,2421.4,1440U7584_/0010,2280,2300,20,F
2421.4,2441.4,1440U7584_/0010,2300,2320,20,F
2441.4,2461.4,1440U7584_/0010,2320,2340,20,F
2461.4,2481.4,1440U7584_/0010,2340,2360,20,F
2481.4,2501.4,1440U7584_/0010,2360,2380,20,F
2501.4,2521.4,1440U7584_/0010,2380,2400,20,F
2521.4,2541.4,1440U7584_/0010,2400,2420,20,F
2541.4,2561.4,1440U7584_/0010,2420,2440,20,F
2561.4,2581.4,1440U7584_/0010,2440,2460,20,F
2581.4,2601.4,1440U7584_/0010,2460,2480,20,F
2601.4,2621.4,1440U7584_/0010,2480,2500,20,F
2621.4,2641.4,1440U7584_/0010,2500,2520,20,F
2641.4,2661.4,1440U7584_/0010,2520,2540,20,F
2661.4,2681.4,1440U7584_/0010,2540,2560,20,F
2681.4,2701.4,1440U7584_/0010,2560,2580,20,F
2701.4,2721.4,1440U7584_/0010,2580,2600,20,F
2721.4,2741.4,1440U7584_/0010,2600,2620,20,F
2741.4,2761.4,1440U7584_/0010,2620,2640,20,F
2761.4,2781.4,1440U7584_/0010,2640,2660,20,F
2781.4,2801.4,1440U7584_/0010,2660,2680,20,F
2801.4,2821.4,1440U7584_/0010,2680,2700,20,F
2821.4,2841.4,1440U7584_/0010,2700,2720,20,F
2841.4,2861.4,1440U7584_/0010,2720,2740,20,F
2861.4,2881.4,1440U7584_/0010,2740,2760,20,F
2881.4,2901.4,1440U7584_/0010,2760,2780,20,F
2901.4,2921.4,1440U7584_/0010,2780,2800,20,F
2921.4,2941.4,1440U7584_/0010,2800,2820,20,F
2941.4,2961.4,1440U7584_/0010,2820,2840,20,F
2961.4,2981.4,1440U7584_/0010,2840,2860,20,F
2981.4,3001.4,1440U7584_/0010,2860,2880,20,F
3001.4,3021.4,1440U7584_/0010,2880,2900,20,F
3021.4,3041.4,1440U7584_/0010,2900,2920,20,F
3041.4,3061.4,1440U7584_/0010,2920,2940,20,F
3061.4,3081.4,1440U7584_/0010,2940,2960,20,F
3081.4,3101.4,1440U7584_/0010,2960,2980,20,F
3101.4,3121.4,1440U7584_/0010,2980,3000,20,F
3121.4,3141.4,1440U7584_/0010,3000,3020,20,F
3141.4,3161.4,1440U7584_/0010,3020,3040,20,F
3161.4,3181.4,1440U7584_/0010,3040,3060,20,F
3181.4,3201.4,1440U7584_/0010,3060,3080,20,F
3201.4,3221.4,1440U7584_/0010,3080,3100,20,F
3221.4,3241.4,1440U7584_/0010,3100,3120,20,F
3241.4,3261.4,1440U7584_/0010,3120,3140,20,F
3261.4,3281.4,1440U7584_/0010,3140,3160,20,F
3281.4,3301.4,1440U7584_/0010,3160,3180,20,F
3301.4,3321.4,1440U7584_/0010,3180,3200,20,F
3321.4,3341.4,1440U7584_/0010,3200,3220,20,F
3341.4,3361.4,1440U7584_/0010,3220,3240,20,F
3361.4,3381.4,1440U7584_/0010,3240,3260,20,F
3381.4,3401.4,1440U7584_/0010,3260,3280,20,F
3401.4,3421.4,1440U7584_/0010,3280,3300,20,F
3421.4,3441.4,1440U7584_/0010,3300,3320,20,F
3441.4,3461.4,1440U7584_/0010,3320,3340,20,F
3461.4,3481.4,1440U7584_/0010,3340,3360,20,F
3481.4,3501.4,1440U7584_/0010,3360,3380,20,F
3501.4,3521.4,1440U7584_/0010,3380,3400,20,F
3521.4,3541.4,1440U7584_/0010,3400,3420,20,F
3541.4,3561.4,1440U7584_/0010,3420,3440,20,F
3561.4,3581.4,1440U7584_/0010,3440,3460,20,F
3581.4,3601.4,1440U7584_/0010,3460,3480,20,F
3601.4,3621.4,1440U7584_/0010,3480,3500,20,F
3621.4,3641.4,1440U7584_/0010,3500,3520,20,F
3641.4,3661.4,1440U7584_/0010,3520,3540,20,F
3661.4,3681.4,1440U7584_/0010,3540,3560,20,F
3681.4,3701.4,1440U7584_/0010,3560,3580,20,F
3701.4,3721.4,1440U7584_/0010,3580,3600,20,F
3721.4,3741.4,1440U7584_/0010,3600,3620,20,F
3741.4,3760.4,1440U7584_/0010,3620,3639,19,F
