Section,Start_Ch,End_Ch,Length,Direction,GRD_Start_Ch,GRD_End_Ch,SECTION_LE,NO_OF_LANE,Survey
1440U7462_/0010,0.0,20.0,20.0,F,2307.2,2327.2,158.0,2,4b
1440U7462_/0010,20.0,40.0,20.0,F,2327.2,2347.2,158.0,2,4b
1440U7462_/0010,40.0,60.0,20.0,F,2347.2,2367.2,158.0,2,4b
1440U7462_/0010,60.0,80.0,20.0,F,2367.2,2387.2,158.0,2,4b
1440U7462_/0010,80.0,100.0,20.0,F,2387.2,2407.2,158.0,2,4b
1440U7462_/0010,100.0,120.0,20.0,F,2407.2,2427.2,158.0,2,4b
1440U7462_/0010,120.0,140.0,20.0,F,2427.2,2447.2,158.0,2,4b
1440U7462_/0010,140.0,158.0,18.0,F,2447.2,2465.2,158.0,2,4b
1440U7464_/0010,0.0,20.0,20.0,R,1690.8,1710.8,660.0,2,4b
1440U7464_/0010,20.0,40.0,20.0,R,1710.8,1730.8,660.0,2,4b
1440U7464_/0010,40.0,60.0,20.0,R,1730.8,1750.8,660.0,2,4b
1440U7464_/0010,60.0,80.0,20.0,R,1750.8,1770.8,660.0,2,4b
1440U7464_/0010,80.0,91.2,11.2,R,1770.8,1782.0,660.0,2,4b
1440U7464_/0030,0.0,20.0,20.0,F,1782.0,1802.0,78.0,2,4b
1440U7464_/0030,20.0,40.0,20.0,F,1802.0,1822.0,78.0,2,4b
1440U7464_/0030,40.0,60.0,20.0,F,1822.0,1842.0,78.0,2,4b
1440U7464_/0030,60.0,78.0,18.0,F,1842.0,1860.0,78.0,2,4b
1440U7465_/0010,0.0,20.0,20.0,R,242.0,262.0,224.0,2,4b
1440U7465_/0010,20.0,40.0,20.0,R,262.0,282.0,224.0,2,4b
1440U7465_/0010,40.0,60.0,20.0,R,282.0,302.0,224.0,2,4b
1440U7465_/0010,60.0,80.0,20.0,R,302.0,322.0,224.0,2,4b
1440U7465_/0010,80.0,100.0,20.0,R,322.0,342.0,224.0,2,4b
1440U7465_/0010,100.0,120.0,20.0,R,342.0,362.0,224.0,2,4b
1440U7465_/0010,120.0,140.0,20.0,R,362.0,365.6,224.0,2,4b
1440U7465_/0010,140.0,160.0,20.0,R,532.4,552.4,224.0,2,4b
1440U7465_/0010,160.0,180.0,20.0,R,552.4,572.4,224.0,2,4b
1440U7465_/0010,180.0,200.0,20.0,R,572.4,592.4,224.0,2,4b
1440U7465_/0010,200.0,220.0,20.0,R,592.4,612.4,224.0,2,4b
1440U7465_/0010,220.0,224.0,4.0,R,612.4,616.4,224.0,2,4b
1440U7465_/0020,0.0,20.0,20.0,F,365.6,385.6,63.0,2,4b
1440U7465_/0020,20.0,40.0,20.0,F,385.6,405.6,63.0,2,4b
1440U7465_/0020,40.0,60.0,20.0,F,405.6,425.6,63.0,2,4b
1440U7465_/0020,60.0,63.0,3.0,F,425.6,428.6,63.0,2,4b
1440U7520_/0010,0.0,20.0,20.0,R,1130.8,1150.8,169.0,2,4b
1440U7520_/0010,20.0,40.0,20.0,R,1150.8,1170.8,169.0,2,4b
1440U7520_/0010,40.0,60.0,20.0,R,1170.8,1190.8,169.0,2,4b
1440U7520_/0010,60.0,80.0,20.0,R,1190.8,1210.8,169.0,2,4b
1440U7520_/0010,80.0,100.0,20.0,R,1210.8,1230.8,169.0,2,4b
1440U7520_/0010,100.0,120.0,20.0,R,1230.8,1250.8,169.0,2,4b
1440U7520_/0010,120.0,140.0,20.0,R,1250.8,1270.8,169.0,2,4b
1440U7520_/0010,140.0,160.0,20.0,R,1270.8,1290.8,169.0,2,4b
1440U7520_/0010,160.0,169.0,9.0,R,1290.8,1299.8,169.0,2,4b
1440U7520_/0020,0.0,20.0,20.0,F,625.8,645.8,331.0,2,4b
1440U7520_/0020,20.0,40.0,20.0,F,645.8,665.8,331.0,2,4b
1440U7520_/0020,40.0,60.0,20.0,F,665.8,685.8,331.0,2,4b
1440U7520_/0020,60.0,80.0,20.0,F,685.8,705.8,331.0,2,4b
1440U7520_/0020,80.0,100.0,20.0,F,705.8,725.8,331.0,2,4b
1440U7520_/0020,100.0,120.0,20.0,F,725.8,745.8,331.0,2,4b
1440U7520_/0020,120.0,140.0,20.0,F,745.8,765.8,331.0,2,4b
1440U7520_/0020,140.0,160.0,20.0,F,765.8,785.8,331.0,2,4b
1440U7520_/0020,160.0,180.0,20.0,F,785.8,805.8,331.0,2,4b
1440U7520_/0020,180.0,200.0,20.0,F,805.8,826.0,331.0,2,4b
1440U7520_/0020,200.0,220.0,20.0,F,826.0,846.0,331.0,2,4b
1440U7520_/0020,220.0,240.0,20.0,F,846.0,866.0,331.0,2,4b
1440U7520_/0020,240.0,260.0,20.0,F,866.0,886.0,331.0,2,4b
1440U7520_/0020,260.0,280.0,20.0,F,886.0,906.0,331.0,2,4b
1440U7520_/0020,280.0,300.0,20.0,F,906.0,926.0,331.0,2,4b
1440U7520_/0020,300.0,320.0,20.0,F,926.0,946.0,331.0,2,4b
1440U7520_/0020,320.0,331.0,11.0,F,946.0,957.0,331.0,2,4b
